日期,周末,雨量(mm)>2.5,紫外線(指數)>6,PM2.5 >54,捷運運量指數(除以當月平均的十分之一),,日期,周末,雨量(mm)>2.5,紫外線(指數)>6,PM2.5 >54,捷運運量指數(除以當月平均的十分之一),日期,周末,雨量(mm)>2.5,紫外線(指數)>6,PM2.5 >54,捷運運量指數(除以當月平均的十分之一)
2016/01/02,六,0,1,36.375,9.16173634,,2016/01/02,六,0,1,36.375,9.16173634,2016/01/03,日,15,2,25.25,7.475999712
2016/01/03,日,15,2,25.25,7.475999712,,2016/01/09,六,0,4,23.75,10.06127078,2016/01/10,日,0,4,20.70833333,8.130023933
2016/01/09,六,0,4,23.75,10.06127078,,2016/01/16,六,0,4,15.125,8.605705873,2016/01/17,日,33.5,1,9.458333333,7.386781445
2016/01/10,日,0,4,20.70833333,8.130023933,,2016/01/23,六,36.5,0,15.625,9.237233299,2016/01/24,日,6,1,15.83333333,7.846985986
2016/01/16,六,0,4,15.125,8.605705873,,2016/01/30,六,8.9,1,8.041666667,11.16499773,2016/01/31,日,0,5,14.125,9.245850043
2016/01/17,日,33.5,1,9.458333333,7.386781445,,2016/02/06,六,0,1,70.45833333,6.572198443,2016/02/07,日,0,4,60.45833333,4.135715357
2016/01/23,六,36.5,0,15.625,9.237233299,,2016/02/13,六,0,6,22.41666667,9.882211363,2016/02/14,日,6.3,1,10.79166667,8.153600739
2016/01/24,日,6,1,15.83333333,7.846985986,,2016/02/20,六,0.2,1,36.91666667,10.97619042,2016/02/21,日,0,3,27.70833333,9.779493517
2016/01/30,六,8.9,1,8.041666667,11.16499773,,2016/02/27,六,10.5,1,10.66666667,10.0789389,2016/02/28,日,0,6,9.5,11.02179666
2016/01/31,日,0,5,14.125,9.245850043,,2016/03/05,六,0,6,26.41666667,9.960555829,2016/03/06,日,0,5,24.79166667,8.364220378
2016/02/06,六,0,1,70.45833333,6.572198443,,2016/03/12,六,6.5,1,15.45833333,9.692613247,2016/03/13,日,39.7,2,22.29166667,8.430664309
2016/02/07,日,0,4,60.45833333,4.135715357,,2016/03/19,六,23.5,2,28.625,9.259289472,2016/03/20,日,2.2,2,24.5,8.258496806
2016/02/13,六,0,6,22.41666667,9.882211363,,2016/03/26,六,0,6,28.91666667,10.21051588,2016/03/27,日,0.5,5,26.29166667,8.40596214
2016/02/14,日,6.3,1,10.79166667,8.153600739,,2016/04/02,六,0,5,39.29166667,9.184031953,2016/04/03,日,0,4,37.16666667,8.30093315
2016/02/20,六,0.2,1,36.91666667,10.97619042,,2016/04/09,六,0,5,38.70833333,9.964715668,2016/04/10,日,10,3,22.33333333,8.224110551
2016/02/21,日,0,3,27.70833333,9.779493517,,2016/04/16,六,0,4,32.54166667,10.01482238,2016/04/17,日,2.4,3,22.33333333,7.98082394
2016/02/27,六,10.5,1,10.66666667,10.0789389,,2016/04/23,六,0,7,23.58333333,10.15743417,2016/04/24,日,3.1,7,23.33333333,8.206672753
2016/02/28,日,0,6,9.5,11.02179666,,2016/04/30,六,0.6,3,63.29166667,10.21413083,2016/05/01,日,3,4,42.875,8.685439868
2016/03/05,六,0,6,26.41666667,9.960555829,,2016/05/07,六,0,7,27.75,9.667867306,2016/05/08,日,20.2,7,26.91666667,7.822095594
2016/03/06,日,0,5,24.79166667,8.364220378,,2016/05/14,六,0,7,7.166666667,10.19556364,2016/05/15,日,0,8,14.08333333,8.760825058
2016/03/12,六,6.5,1,15.45833333,9.692613247,,2016/05/21,六,0.5,4,27.70833333,10.12586958,2016/05/22,日,0.2,1,21.95833333,8.523851394
2016/03/13,日,39.7,2,22.29166667,8.430664309,,2016/05/28,六,0.5,12,16.625,9.859856307,2016/05/29,日,0,12,15.375,8.125294205
2016/03/19,六,23.5,2,28.625,9.259289472,,2016/06/04,六,0,11,16.5,10.89902955,2016/06/05,日,12,8,14.25,8.290753371
2016/03/20,日,2.2,2,24.5,8.258496806,,2016/06/11,六,5.5,5,8.958333333,8.433451249,2016/06/12,日,0.3,7,6.583333333,7.864105188
2016/03/26,六,0,6,28.91666667,10.21051588,,2016/06/18,六,21.7,11,10.91666667,9.772053749,2016/06/19,日,0,11,14.625,8.312369017
2016/03/27,日,0.5,5,26.29166667,8.40596214,,2016/06/25,六,0,11,13.83333333,9.868191718,2016/06/26,日,6.3,11,14.58333333,8.085610855
2016/04/02,六,0,5,39.29166667,9.184031953,,2016/07/02,六,1,11,11.20833333,9.328344177,2016/07/03,日,23.3,10,18.29166667,8.361863726
2016/04/03,日,0,4,37.16666667,8.30093315,,2016/07/09,六,12.9,9,7.916666667,9.311027977,2016/07/10,日,43.7,9,9.166666667,8.357530853
2016/04/09,六,0,5,38.70833333,9.964715668,,2016/07/16,六,0,11,17.41666667,10.0897472,2016/07/17,日,1.5,11,18.66666667,8.48754253
2016/04/10,日,10,3,22.33333333,8.224110551,,2016/07/23,六,0,11,22.04166667,10.01008351,2016/07/24,日,0,10,28.41666667,8.445890877
2016/04/16,六,0,4,32.54166667,10.01482238,,2016/07/30,六,0,8,17.04166667,9.750916534,2016/07/31,日,0,10,10.91666667,8.507361601
2016/04/17,日,2.4,3,22.33333333,7.98082394,,2016/08/06,六,0.8,9,23.33333333,9.462168617,2016/08/07,日,15,10,7.875,7.942189393
2016/04/23,六,0,7,23.58333333,10.15743417,,2016/08/13,六,6,7,3.375,9.946553119,2016/08/14,日,0,12,5.375,8.606369115
2016/04/24,日,3.1,7,23.33333333,8.206672753,,2016/08/20,六,0,10,16.875,9.729122687,2016/08/21,日,0,8,20.33333333,8.396430354
2016/04/30,六,0.6,3,63.29166667,10.21413083,,2016/08/27,六,35.5,5,15.83333333,9.614394482,2016/08/28,日,14.8,1,19.375,7.904195561
2016/05/01,日,3,4,42.875,8.685439868,,2016/09/03,六,1.7,7,13.70833333,11.16407881,2016/09/04,日,0.5,9,14.91666667,8.923756304
2016/05/07,六,0,7,27.75,9.667867306,,2016/09/10,六,35,6,10.41666667,11.48423311,2016/09/11,日,0,10,13.375,9.541448646
2016/05/08,日,20.2,7,26.91666667,7.822095594,,2016/09/17,六,64.5,2,5.208333333,4.567940902,2016/09/18,日,29,5,12.125,8.156601357
2016/05/14,六,0,7,7.166666667,10.19556364,,2016/09/24,六,0,10,15.66666667,11.0302219,2016/09/25,日,0,9,16.45833333,9.044339026
2016/05/15,日,0,8,14.08333333,8.760825058,,2016/10/01,六,0,11,7.166666667,10.00705785,2016/10/02,日,0,10,6.333333333,8.30506434
2016/05/21,六,0.5,4,27.70833333,10.12586958,,2016/10/08,六,15.3,6,11.58333333,9.122668253,2016/10/09,日,22,2,4.125,7.871934722
2016/05/22,日,0.2,1,21.95833333,8.523851394,,2016/10/15,六,12.4,8,7.791666667,10.34252142,2016/10/16,日,1,10,7.25,8.740889079
2016/05/28,六,0.5,12,16.625,9.859856307,,2016/10/22,六,17.5,6,21.25,9.839585214,2016/10/23,日,0,8,16.29166667,8.483154571
2016/05/29,日,0,12,15.375,8.125294205,,2016/10/29,六,3.5,3,12.08333333,10.08752153,2016/10/30,日,0,3,11.29166667,8.674912915
2016/06/04,六,0,11,16.5,10.89902955,,2016/11/05,六,0,6,15.83333333,9.990938439,2016/11/06,日,0,7,16.33333333,8.438129912
2016/06/05,日,12,8,14.25,8.290753371,,2016/11/12,六,0,6,20.375,9.963650087,2016/11/13,日,0,7,17.66666667,8.484618524
2016/06/11,六,5.5,5,8.958333333,8.433451249,,2016/11/19,六,0,6,21.45833333,10.15032592,2016/11/20,日,10.5,7,14.04166667,8.658032373
2016/06/12,日,0.3,7,6.583333333,7.864105188,,2016/11/26,六,3.2,6,8.875,9.860143532,2016/11/27,日,10.5,2,8.333333333,7.822837762
2016/06/18,六,21.7,11,10.91666667,9.772053749,,2016/12/03,六,0,4,9.875,10.1400932,2016/12/04,日,0,5,10.95833333,8.453401451
2016/06/19,日,0,11,14.625,8.312369017,,2016/12/10,六,6,3,22.04166667,10.93712138,2016/12/11,日,4,2,12.33333333,8.602611874
2016/06/25,六,0,11,13.83333333,9.868191718,,2016/12/17,六,0,5,15.33333333,10.71517356,2016/12/18,日,0,5,7.666666667,9.095973245
2016/06/26,日,6.3,11,14.58333333,8.085610855,,2016/12/24,六,0,5,20.70833333,10.85513876,2016/12/25,日,0,6,11.58333333,9.488374496
2016/07/02,六,1,11,11.20833333,9.328344177,,2016/12/31,六,0,6,10.125,11.79845946,,,,,,
2016/07/03,日,23.3,10,18.29166667,8.361863726,,,,,,,,,,,,,
2016/07/09,六,12.9,9,7.916666667,9.311027977,,,,,,,,,,,,,
2016/07/10,日,43.7,9,9.166666667,8.357530853,,,,,,,,,,,,,
2016/07/16,六,0,11,17.41666667,10.0897472,,,,,,,,,,,,,
2016/07/17,日,1.5,11,18.66666667,8.48754253,,,,,,,,,,,,,
2016/07/23,六,0,11,22.04166667,10.01008351,,,,,,,,,,,,,
2016/07/24,日,0,10,28.41666667,8.445890877,,,,,,,,,,,,,
2016/07/30,六,0,8,17.04166667,9.750916534,,,,,,,,,,,,,
2016/07/31,日,0,10,10.91666667,8.507361601,,,,,,,,,,,,,
2016/08/06,六,0.8,9,23.33333333,9.462168617,,,,,,,,,,,,,
2016/08/07,日,15,10,7.875,7.942189393,,,,,,,,,,,,,
2016/08/13,六,6,7,3.375,9.946553119,,,,,,,,,,,,,
2016/08/14,日,0,12,5.375,8.606369115,,,,,,,,,,,,,
2016/08/20,六,0,10,16.875,9.729122687,,,,,,,,,,,,,
2016/08/21,日,0,8,20.33333333,8.396430354,,,,,,,,,,,,,
2016/08/27,六,35.5,5,15.83333333,9.614394482,,,,,,,,,,,,,
2016/08/28,日,14.8,1,19.375,7.904195561,,,,,,,,,,,,,
2016/09/03,六,1.7,7,13.70833333,11.16407881,,,,,,,,,,,,,
2016/09/04,日,0.5,9,14.91666667,8.923756304,,,,,,,,,,,,,
2016/09/10,六,35,6,10.41666667,11.48423311,,,,,,,,,,,,,
2016/09/11,日,0,10,13.375,9.541448646,,,,,,,,,,,,,
2016/09/17,六,64.5,2,5.208333333,4.567940902,,,,,,,,,,,,,
2016/09/18,日,29,5,12.125,8.156601357,,,,,,,,,,,,,
2016/09/24,六,0,10,15.66666667,11.0302219,,,,,,,,,,,,,
2016/09/25,日,0,9,16.45833333,9.044339026,,,,,,,,,,,,,
2016/10/01,六,0,11,7.166666667,10.00705785,,,,,,,,,,,,,
2016/10/02,日,0,10,6.333333333,8.30506434,,,,,,,,,,,,,
2016/10/08,六,15.3,6,11.58333333,9.122668253,,,,,,,,,,,,,
2016/10/09,日,22,2,4.125,7.871934722,,,,,,,,,,,,,
2016/10/15,六,12.4,8,7.791666667,10.34252142,,,,,,,,,,,,,
2016/10/16,日,1,10,7.25,8.740889079,,,,,,,,,,,,,
2016/10/22,六,17.5,6,21.25,9.839585214,,,,,,,,,,,,,
2016/10/23,日,0,8,16.29166667,8.483154571,,,,,,,,,,,,,
2016/10/29,六,3.5,3,12.08333333,10.08752153,,,,,,,,,,,,,
2016/10/30,日,0,3,11.29166667,8.674912915,,,,,,,,,,,,,
2016/11/05,六,0,6,15.83333333,9.990938439,,,,,,,,,,,,,
2016/11/06,日,0,7,16.33333333,8.438129912,,,,,,,,,,,,,
2016/11/12,六,0,6,20.375,9.963650087,,,,,,,,,,,,,
2016/11/13,日,0,7,17.66666667,8.484618524,,,,,,,,,,,,,
2016/11/19,六,0,6,21.45833333,10.15032592,,,,,,,,,,,,,
2016/11/20,日,10.5,7,14.04166667,8.658032373,,,,,,,,,,,,,
2016/11/26,六,3.2,6,8.875,9.860143532,,,,,,,,,,,,,
2016/11/27,日,10.5,2,8.333333333,7.822837762,,,,,,,,,,,,,
2016/12/03,六,0,4,9.875,10.1400932,,,,,,,,,,,,,
2016/12/04,日,0,5,10.95833333,8.453401451,,,,,,,,,,,,,
2016/12/10,六,6,3,22.04166667,10.93712138,,,,,,,,,,,,,
2016/12/11,日,4,2,12.33333333,8.602611874,,,,,,,,,,,,,
2016/12/17,六,0,5,15.33333333,10.71517356,,,,,,,,,,,,,
2016/12/18,日,0,5,7.666666667,9.095973245,,,,,,,,,,,,,
2016/12/24,六,0,5,20.70833333,10.85513876,,,,,,,,,,,,,
2016/12/25,日,0,6,11.58333333,9.488374496,,,,,,,,,,,,,
2016/12/31,六,0,6,10.125,11.79845946,,,,,,,,,,,,,
